9.68	5597.45
8.65	7329.56
7.67	9210.26
6.63	14020.62
5.76	29104.33
11.5	3422.28
10.3	4783.49
11.3	3283.78
12.6	2649.23
13.8	2169.99
14.7	1850.23
16.1	1556.99
16.9	1331.70
17.9	1113.52
18.9	978.68
19.8	899.78
20.8	755.84
21.8	649.10
23.0	449.45
21.8	645.23
23.0	518.90
26.4	229.66
28.7	122.40
31.0	50.360
33.2	18.385
25.3	333.71
24.1	438.74
34.4	8.68
36.6	3.69
38.9	5.76
41.1	11.6
43.4	16.5
45.6	20.7
47.9	20.4
50.1	20.0
52.3	16.2
54.5	12.3
56.7	9.17
56.7	7.98
58.9	6.04
61.1	5.35
63.3	4.82
65.4	5.36
67.6	6.63
69.8	8.11
71.9	9.49
