10.92726	6.75423
12.13942	0.61614
13.35096	0.33402
14.56182	0.55794
15.77193	0.72993
16.98123	0.91995
18.18967	0.68009
19.39717	0.53859
20.60368	1.03489
21.80914	1.18412
23.01349	1.1659
24.21666	0.99749
25.4186		0.93076
26.61924	0.93862
27.81853	0.97174
30.21282	0.99536
32.60097	0.94115
34.98254	0.65135
36.1707		0.51307
38.54152	0.59302
40.90459	0.51221
43.25949	0.48409
45.60577	0.43
47.943		0.40085
50.27075	0.36129
52.58863	0.36471
54.89622	0.35174
57.19313	0.36311
59.47898	0.37581
61.75341	0.35005
64.01606	0.36434
66.26657	0.39153
68.50464	0.4494
70.72993	0.56868
75.14103	0.66127
#
