12.288		1.05817
13.514		0.90023
15.964		0.58364
17.188		0.58124
18.411		0.46583
19.633		0.38616
20.854		0.42305
23.292		0.4118
22.074		0.3586
24.51		0.27725
29.365		0.26932
31.784		0.28241
36.600		0.21808
38.997		0.20837
41.386		0.20436
43.766		0.17003
46.137		0.16322
48.498		0.17096
50.849		0.15593
53.189		0.15936
55.519		0.14913
57.837		0.14423
60.143		0.1431
62.437		0.12927
64.719		0.13331
66.987		0.1335
69.243		0.13514
71.484		0.12843
73.712		0.11702
75.925		0.13493
78.124		0.13486
80.307		0.12862
82.476		0.13403
86.767		0.10432
88.889		0.10188
90.996		0.09969
93.086		0.09825
95.159		0.09883
97.217		0.09969
99.258		0.09806
101.28		0.10146
105.28		0.10043
107.25		0.09918
109.21		0.1035
--	--
