12.84085	0.02917
14.12186	0.02847
16.68118	0.03985
17.95932	0.02692
19.23635	0.0276
20.51219	0.02996
21.78675	0.00576
24.33174	0.00487
25.60201	0.01626
23.05996	0.02851
25.60201	0.09138
28.13771	0.08554
30.66644	0.06786
33.18756	0.05139
35.70048	0.09105
40.69921	0.0578
43.18381	0.05348
45.65778	0.07418
48.12052	0.08007
50.57145	0.05505
53.00999	0.05182
55.43559	0.05184
57.84768	0.05295
60.24574	0.04977
62.62922	0.05534
67.35041	0.05515
72.00733	0.04576
74.31052	0.04925
78.86424	0.06015
81.11397	0.04914
83.34512	0.044
85.55735	0.05461
