11.83271	6.55561
13.0139		6.18046
15.37444	4.44786
16.55369	4.3965
17.73218	4.25429
18.90987	3.38995
20.0867		3.8988
22.43757	3.72764
21.26262	3.19292
28.29605	2.34956
30.63088	2.28562
32.96022	2.02789
35.28366	1.94636
37.60081	2.02757
39.91128	1.91026
42.21469	1.74431
44.51068	1.53297
46.79886	1.51651
49.07889	1.36803
51.35042	1.31348
53.6131		1.16705
55.86661	1.04423
58.11063	1.06202
60.34483	1.05903
62.56894	0.99631
64.78264	1.04137
66.98569	1.06194
69.1778		1.09928
71.35873	1.23379
73.52824	1.18675
75.68612	1.23115
77.83215	1.16712
79.96614	1.22665
82.08792	1.07161
84.19732	0.95592
86.29419	0.94708
88.37841	0.87902
90.44987	0.91176
92.50847	0.85931
94.55412	0.81827
96.58678	0.80822
98.60639	0.76072
100.61293	0.72876
102.60639	0.72439
104.58678	0.69544
106.55412	0.68678
